TAZ12,Lon,Lat,fueling,year
"2522",-120.137297453858,36.6326706605326,38.0324020752129,"2025"
"2525",-120.385925960671,36.5510125078256,453.041348346651,"2025"
"2529",-120.636340775124,36.7886757915198,500,"2025"
"2530",-120.103126519148,36.1678862984166,17.0589360368916,"2025"
"2532",-120.159781329275,36.3251277422132,107.104747375763,"2025"
"2551",-120.252754820434,37.0149914965006,4.27134202271373,"2025"
"2566",-119.884722021432,37.1674242425393,404.756843175075,"2025"
"2602",-119.738133265073,35.9479724131564,35.9428259857024,"2025"
"2713",-118.499387088127,36.2642132788348,103.823830218597,"2025"
"2714",-119.033666397429,36.5578256025278,82.3753761757691,"2025"
"2726",-119.138016301703,36.1682100392086,352.817642359393,"2025"
"2739",-119.392977656364,35.8903643796445,9.9819180923149,"2025"
"2742",-119.45024563927,36.2076824365024,76.2934984080104,"2025"
"2772",-118.798331010016,35.943384808599,26.2252213046222,"2025"
"2795",-118.783357320161,34.9797010783239,61.3984520784967,"2025"
"2824",-118.931121736459,35.3272128069404,484.956655692771,"2025"
"2893",-119.038837256933,35.2624633626764,2000,"2025"
"2900",-119.150401623275,34.9473229582053,264.352184983176,"2025"
"2904",-117.880164893465,34.9084872032804,13.690107953284,"2025"
"2912",-118.464084346732,34.980430673458,9.05752405473925,"2025"
"2914",-119.767704460078,35.6479415948574,52.5652532149846,"2025"
"2915",-118.841675595596,35.6576891087084,84.9881280217575,"2025"
"2918",-118.684352453533,35.4404061923745,0.25607799720742,"2025"
"2923",-118.17727782098,35.5947531857608,23.532376987608,"2025"
"2931",-117.935588992965,35.2508199420292,281.912399482297,"2025"
"2934",-117.780318334342,35.1804827993342,12.2341599427011,"2025"
"2935",-118.337814221164,35.2801940255313,336.033341148713,"2025"
"2947",-119.503039394754,35.2672331211903,73.2780822574581,"2025"
"2949",-119.195697139978,35.6433699474497,136.374737253046,"2025"
"3000",-119.820603803423,38.597094081245,1.61491401023848,"2025"
"3004",-120.933979846297,38.4175792086332,98.9040588640652,"2025"
"3012",-120.51626277962,38.1004744686828,63.6175851532751,"2025"
"3013",-117.328777996373,36.4460848855241,24.0086265277298,"2025"
