TAZ12,Lon,Lat,i,value,year,dailyCapacity,hourlyCapacity,cost
"331",-122.137491984328,38.7861425665166,"1","1","2025","500","324",1262491
"345",-121.380663692875,39.146240543838,"1","1","2025","500","324",1262491
"403",-120.976681168372,38.8534670700679,"1","1","2025","500","324",1262491
"414",-120.324744326104,38.8305565323631,"1","1","2025","500","324",1262491
"420",-120.733007600707,38.8929687729119,"1","1","2025","500","324",1262491
"425",-120.526148108695,38.6028624578985,"1","1","2025","500","324",1262491
"434",-120.474697300892,39.2486513050169,"4","1","2025","1500","324",2509117.08
"457",-121.048270289897,38.9445239942524,"1","1","2025","500","324",1262491
"506",-121.467335110454,38.5876624894595,"1","1","2025","500","324",1262491
"534",-121.502137803696,38.5683440463928,"4","1","2025","1500","324",2509117.08
"715",-121.625620682018,38.1702973354452,"1","1","2025","500","324",1262491
"742",-121.278113561835,38.2908557249288,"1","1","2025","500","324",1262491
"803",-122.304669514121,38.626594073059,"1","1","2025","500","324",1262491
"829",-121.800333120393,38.4226701653643,"1","1","2025","500","324",1262491
"858",-122.166125129309,38.2540563838418,"1","1","2025","500","324",1262491
"877",-121.977703574752,38.1573677714284,"1","1","2025","500","324",1262491
"887",-123.218622980784,38.6322674554832,"1","1","2025","500","324",1262491
"888",-122.822270828278,38.7299133905846,"1","1","2025","500","324",1262491
"895",-122.960106445359,38.518595563279,"1","1","2025","500","324",1262491
"906",-122.7834662554,38.1630636588719,"1","1","2025","500","324",1262491
"935",-122.497077312202,37.9559523409793,"1","1","2025","500","324",1262491
"983",-122.54672852134,38.2190105926224,"1","1","2025","500","324",1262491
"1210",-122.414118649336,37.5345521215456,"1","1","2025","500","324",1262491
"1283",-122.299910594892,37.2903668424745,"1","1","2025","500","324",1262491
"1319",-122.153272293955,38.0162324480831,"1","1","2025","500","324",1262491
"1365",-121.632263702073,37.8819063487158,"1","1","2025","500","324",1262491
"1480",-122.308439123972,37.8015331211233,"1","1","2025","500","324",1262491
"1672",-121.989909283744,37.6501706443344,"2","1","2025","750","324",1649413
"1686",-121.807375562733,37.5568373763309,"1","1","2025","500","324",1262491
"1796",-121.973765460631,37.4414115045493,"2","1","2025","750","324",1649413
"1850",-121.89986419762,37.3462081373769,"2","1","2025","750","324",1649413
"1944",-121.515854373978,37.2357884174404,"3","1","2025","1000","324",1896504
"2103",-121.302980768737,37.8350228078353,"3","1","2025","1000","324",1896504
"2114",-121.453225587472,37.6113436116689,"1","1","2025","500","324",1262491
"2119",-121.077666676359,38.1160988621884,"1","1","2025","500","324",1262491
"2127",-121.114934764578,37.7551238096651,"1","1","2025","500","324",1262491
"2133",-121.458026689971,37.921840478373,"1","1","2025","500","324",1262491
"2208",-121.311387632705,37.4888211038607,"1","1","2025","500","324",1262491
"2215",-120.88971210717,37.5082736556468,"3","1","2025","1000","324",1896504
"2224",-120.609430876517,37.6492521727898,"1","1","2025","500","324",1262491
"2227",-120.830169988109,37.8866418267492,"6","1","2025","5000","648",5947404.11
"2310",-120.645877326591,37.1783649815002,"1","1","2025","500","324",1262491
"2311",-120.903713397097,37.205457186913,"1","1","2025","500","324",1262491
"2323",-120.805122052661,37.3389480741047,"1","1","2025","500","324",1262491
"2324",-120.483074345704,37.4928411171191,"1","1","2025","500","324",1262491
"2478",-119.782721748134,36.737094780275,"2","1","2025","750","324",1649413
"2507",-119.022964865082,37.1720303365142,"1","1","2025","500","324",1262491
"2509",-118.869473985197,36.8217556084848,"1","1","2025","500","324",1262491
"2518",-119.682397429884,36.4759448890163,"1","1","2025","500","324",1262491
"2522",-120.137297453858,36.6326706605326,"1","1","2025","500","324",1262491
"2525",-120.385925960671,36.5510125078256,"1","1","2025","500","324",1262491
"2529",-120.636340775124,36.7886757915198,"1","1","2025","500","324",1262491
"2530",-120.103126519148,36.1678862984166,"1","1","2025","500","324",1262491
"2532",-120.159781329275,36.3251277422132,"1","1","2025","500","324",1262491
"2551",-120.252754820434,37.0149914965006,"1","1","2025","500","324",1262491
"2566",-119.884722021432,37.1674242425393,"1","1","2025","500","324",1262491
"2602",-119.738133265073,35.9479724131564,"1","1","2025","500","324",1262491
"2713",-118.499387088127,36.2642132788348,"1","1","2025","500","324",1262491
"2714",-119.033666397429,36.5578256025278,"1","1","2025","500","324",1262491
"2726",-119.138016301703,36.1682100392086,"1","1","2025","500","324",1262491
"2739",-119.392977656364,35.8903643796445,"1","1","2025","500","324",1262491
"2742",-119.45024563927,36.2076824365024,"1","1","2025","500","324",1262491
"2772",-118.798331010016,35.943384808599,"1","1","2025","500","324",1262491
"2795",-118.783357320161,34.9797010783239,"1","1","2025","500","324",1262491
"2824",-118.931121736459,35.3272128069404,"1","1","2025","500","324",1262491
"2893",-119.038837256933,35.2624633626764,"4","1","2025","1500","324",2509117.08
"2893",-119.038837256933,35.2624633626764,"1","1","2025","500","324",1262491
"2900",-119.150401623275,34.9473229582053,"1","1","2025","500","324",1262491
"2904",-117.880164893465,34.9084872032804,"1","1","2025","500","324",1262491
"2912",-118.464084346732,34.980430673458,"1","1","2025","500","324",1262491
"2914",-119.767704460078,35.6479415948574,"1","1","2025","500","324",1262491
"2915",-118.841675595596,35.6576891087084,"1","1","2025","500","324",1262491
"2918",-118.684352453533,35.4404061923745,"1","1","2025","500","324",1262491
"2923",-118.17727782098,35.5947531857608,"1","1","2025","500","324",1262491
"2931",-117.935588992965,35.2508199420292,"1","1","2025","500","324",1262491
"2934",-117.780318334342,35.1804827993342,"1","1","2025","500","324",1262491
"2935",-118.337814221164,35.2801940255313,"1","1","2025","500","324",1262491
"2947",-119.503039394754,35.2672331211903,"1","1","2025","500","324",1262491
"2949",-119.195697139978,35.6433699474497,"1","1","2025","500","324",1262491
"3000",-119.820603803423,38.597094081245,"1","1","2025","500","324",1262491
"3004",-120.933979846297,38.4175792086332,"1","1","2025","500","324",1262491
"3012",-120.51626277962,38.1004744686828,"1","1","2025","500","324",1262491
"3013",-117.328777996373,36.4460848855241,"1","1","2025","500","324",1262491
"3014",-118.286446877807,37.3172240688691,"1","1","2025","500","324",1262491
"3018",-119.723391382274,37.6706679769965,"1","1","2025","500","324",1262491
"3019",-120.183540016953,37.5952158760793,"1","1","2025","500","324",1262491
"3020",-120.025456844301,37.3754860789222,"1","1","2025","500","324",1262491
"3021",-119.203393590944,38.1671371795063,"1","1","2025","500","324",1262491
"3022",-118.519674002668,37.6917935398911,"1","1","2025","500","324",1262491
"3029",-119.988986491895,38.2028029889458,"1","1","2025","500","324",1262491
